trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-276.71635013795515,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-44.12925408109215,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-112.93166325202996,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-132.32381416127498,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,0,-110.71533439879595,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-82.12929749236962,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-41.94692158659534,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-112.2714946660765,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-49.20369334154095,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",30,0,-48.53657544442024,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-59.5961744626919,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,-23.12399727114051,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,0,-50.529333571032076,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",25,11,7.800385731030523,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,5,2.178522847130931,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",30,16,-42.33685073993478,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,13,-25.153130907805366,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",25,15,-81.35514028498254,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",20,0,-17.18218597033593,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",35,20,-12.434500810697129,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
